Participante,Centro,Curso,Temario,Al menos 7h 30',Último tema terminado,Al menos ha visto un 75%,Actividad (#eventos),Numero de videos reproducidos,Numero de respuestas,Tiempo mirando videos,Tiempo siguiendo curso,Hora comienzo curso,Hora ultima actividad
prueba1,C043 - Casa de la Cultura de Belmonte del Tajo,RETO043,RETOMadrID - Curso de uso básico de ordenador,false,false,false,13,0,0,00:00:35,00:01:07,2024-09-24 17:03:35.099000+02:00 CEST Europe/Madrid,2024-09-24 17:04:42.897000+02:00 CEST Europe/Madrid
13,C091 - Centro de Mayores Antonio Machado de Humanes de Madrid,RETO091,RETOMadrID - Curso de uso básico de ordenador,false,false,false,533,46,35,04:49:49,07:28:30,2025-01-13 10:09:08.460000+01:00 CET Europe/Madrid,2025-03-03 10:53:51.339000+01:00 CET Europe/Madrid
10,C014 - Centro de Mayores. La Cabrera,RETO014,RETOMadrID - Curso de uso básico de ordenador,true,true,true,1072,64,65,04:16:23,11:10:08,2025-01-31 11:38:52.373000+01:00 CET Europe/Madrid,2025-03-10 12:41:11.035000+01:00 CET Europe/Madrid
11,C097 - AMAVIR de Cenicientos,RETO097,RETOMadrID - Curso de uso básico de ordenador,false,false,false,115,15,2,00:42:51,01:06:33,2025-03-17 17:52:56.626000+01:00 CET Europe/Madrid,2025-03-17 18:59:29.477000+01:00 CET Europe/Madrid
4,C040 - Residencia de Personas Mayores Jesús del Buen Amor de Griñón,RETO040,RETOMadrID - Curso de uso básico de ordenador,true,false,false,498,43,33,04:12:37,10:02:41,2025-01-22 12:20:10.159000+01:00 CET Europe/Madrid,2025-03-28 12:15:27.980000+01:00 CET Europe/Madrid
prueba1,C090 - Centro de Mayores RAICES IV de Villalbilla,RETO090,RETOMadrID - Curso de uso básico de ordenador,false,false,false,3,0,0,00:00:19,00:00:33,2025-01-15 19:12:02.224000+01:00 CET Europe/Madrid,2025-01-15 19:12:35.329000+01:00 CET Europe/Madrid
9,C029 - Casa de la Cultura de Villanueva de Perales,RETO029,RETOMadrID - Curso de uso básico de ordenador,true,false,true,486,66,71,06:37:16,08:28:10,2024-10-01 12:01:09.950000+02:00 CEST Europe/Madrid,2024-11-21 13:12:58.995000+01:00 CET Europe/Madrid
prueba1,C050 - Biblioteca Municipal Pedro Antonio Alarcón de San Lorenzo de El Escorial,RETO050,RETOMadrID - Curso de uso básico de ordenador,false,false,false,2,0,0,,00:00:02,2024-10-16 12:19:48.233000+02:00 CEST Europe/Madrid,2024-10-16 12:19:50.716000+02:00 CEST Europe/Madrid
11,C091 - Centro de Mayores Antonio Machado de Humanes de Madrid,RETO091,RETOMadrID - Curso de uso básico de ordenador,true,true,true,848,68,71,06:05:55,10:08:36,2025-01-13 09:23:43.376000+01:00 CET Europe/Madrid,2025-03-12 10:33:27.554000+01:00 CET Europe/Madrid
prueba1,C066 - Ayuntamiento de Villamanrique de Tajo,RETO066,RETOMadrID - Curso de uso básico de ordenador,false,false,false,8,0,0,00:01:38,00:02:07,2024-12-13 12:08:52.283000+01:00 CET Europe/Madrid,2024-12-13 12:10:59.267000+01:00 CET Europe/Madrid
7,C028 - Centro de Formación Juvenil (FOJU) de Titulcia,RETO028,RETOMadrID - Curso de uso básico de ordenador,true,false,true,561,66,71,04:40:40,08:36:36,2024-11-25 11:10:01.969000+01:00 CET Europe/Madrid,2024-12-05 11:57:06.715000+01:00 CET Europe/Madrid
2,C026 - Bilbioteca Municipal de Navalafuente,RETO026,RETOMadrID - Curso de uso básico de ordenador,true,false,true,960,65,53,11:54:36,15:10:15,2024-10-03 11:02:17.314000+02:00 CEST Europe/Madrid,2024-11-29 13:06:57.970000+01:00 CET Europe/Madrid
1,C056 - Centro Cultural la Posada,RETO056,RETOMadrID - Curso de uso básico de ordenador,true,false,true,537,63,71,04:43:04,10:22:02,2024-09-24 17:50:29.797000+02:00 CEST Europe/Madrid,2025-01-15 16:24:58.957000+01:00 CET Europe/Madrid
15,"C008 - Coworking Puerta de la Sierra. Cotos de Monterrey, Venturada",RETO008,RETOMadrID - Curso de uso básico de ordenador,true,false,true,769,63,71,05:39:26,11:09:41,2025-01-21 13:14:13.731000+01:00 CET Europe/Madrid,2025-02-11 14:50:55.406000+01:00 CET Europe/Madrid
11,C100 - Rescofoil de Colmenar de Oreja,RETO100,RETOMadrID - Curso de uso básico de ordenador,true,false,false,375,49,37,03:23:29,09:23:15,2025-02-27 09:44:59.224000+01:00 CET Europe/Madrid,2025-03-25 16:49:43.751000+01:00 CET Europe/Madrid
